batting_team,bowling_team,city,runs_left,balls_left,wickets_left,target,crr,rrr,result
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,138,73,8,208,8.936170212765957,11.342465753424657,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,134,72,8,208,9.25,11.166666666666666,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,133,71,8,208,9.183673469387756,11.23943661971831,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,132,70,8,208,9.12,11.314285714285715,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,132,69,8,208,8.941176470588236,11.478260869565217,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,131,68,8,208,8.884615384615385,11.558823529411764,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,130,67,8,208,8.830188679245284,11.64179104477612,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,124,66,8,208,9.333333333333334,11.272727272727273,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,123,65,8,208,9.272727272727273,11.353846153846154,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,121,65,8,208,9.49090909090909,11.169230769230769,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,117,64,8,208,9.75,10.96875,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,116,63,8,208,9.68421052631579,11.047619047619047,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,115,62,8,208,9.620689655172415,11.129032258064516,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,115,61,8,208,9.457627118644067,11.311475409836065,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,114,60,8,208,9.4,11.4,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,110,59,8,208,9.639344262295081,11.186440677966102,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,109,59,8,208,9.737704918032787,11.084745762711865,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,108,58,8,208,9.67741935483871,11.172413793103448,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,107,57,8,208,9.619047619047619,11.263157894736842,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,106,56,8,208,9.5625,11.357142857142858,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,102,55,8,208,9.784615384615385,11.127272727272727,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,98,54,8,208,10.0,10.88888888888889,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,97,53,8,208,9.940298507462687,10.981132075471699,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,96,53,8,208,10.029850746268657,10.867924528301886,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,94,52,8,208,10.058823529411764,10.846153846153847,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,93,51,8,208,10.0,10.941176470588236,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,92,50,7,208,9.942857142857143,11.04,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,91,49,7,208,9.887323943661972,11.142857142857142,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,90,48,7,208,9.833333333333334,11.25,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,89,47,7,208,9.780821917808218,11.361702127659575,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,87,46,7,208,9.81081081081081,11.347826086956522,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,86,45,7,208,9.76,11.466666666666667,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,82,44,7,208,9.947368421052632,11.181818181818182,0
